herb	symptoms
陈皮	纳略增,3.65442421016	偶口干口苦,3.65442421016	代诉：病情平稳,3.65442421016	微畏寒,3.65442421016	胃脘胃寒,3.65442421016	舌下脉络瘀曲,3.65442421016	腹部畏寒略减,3.65442421016	泛吐白沫,3.65442421016	舌体瘦,3.65442421016	口粘减轻,3.65442421016	头晕减轻,3.65442421016	舌燥,3.65442421016	舌淡紫暗胖,3.65442421016	咽部有异物感,3.65442421016	脑鸣,3.65442421016	胃脘部下坠感,3.65442421016	苔浊腻,3.65442421016	舌干,3.65442421016	前部苔少,3.65442421016	进食后偶嗳气,3.65442421016	小便热,3.65442421016	面部痤疮多,3.65442421016	打鼾,3.65442421016	吞咽困难,3.65442421016	排气少,3.65442421016	不能多食,3.62844872376	反食,3.62702523597	偶呕吐,3.61186459574	受凉加重,3.60997244759	食后嗳气,3.60997244759	腹部畏寒明显,3.60790419452	舌淡边有齿痕,3.60790419452	泻后则安,3.60563404599	嘈杂,3.59726579632	大便有时干,3.59726579632	嗳气减少,3.59379958834	胃胀明显好转,3.59190385318	进食后嗳气,3.58988568902	家族史否认,3.58988568902	舌暗淡胖,3.58773283566	矢气减少,3.58543133867	大便粘好转,3.58543133867	苔黄白腻,3.58031623801	有瘀点,3.58031623801	纳稍增,3.58031623801	反酸偶作,3.58031623801	上腹胀满,3.57746316902	质不干,3.57746316902	下肢疼痛,3.57438150249	膝关节畏寒,3.57438150249	得嗳气矢气则舒,3.57438150249	食欲差,3.57438150249	偶咳痰,3.57438150249	舌质红,3.57438150249	胃中沥沥在声,3.57438150249	晨起口臭,3.57438150249	大便时干,3.57438150249	偶干咳,3.57438150249	两胁痛,3.56741283317	口干苦,3.56741283317	耳鸣减轻,3.56741283317	腹泻减轻,3.55911403035	自觉上火,3.55911403035	睡眠偏差,3.55911403035	嗳气偶作,3.55911403035	心悸减轻,3.55911403035	反酸减少,3.55911403035	口干明显,3.55911403035	大便渐成形,3.55911403035	气上逆感,3.55598413735	脉滑数,3.55598413735	大便欠畅,3.5543407516	口腔异味减轻,3.5543407516	嗳气频作,3.55332809329	喜温喜按,3.5490636945	背痛减轻,3.5490636945	小腹胀满,3.5490636945	睡眠质量好转,3.5490636945	苔根部腻,3.5490636945	口粘好转,3.5490636945	胃脘及背部畏寒,3.5490636945	脐周隐痛,3.5490636945	偶胸痛,3.5490636945	口苦好转,3.5490636945	体胖,3.5490636945	仍有嗳气,3.5490636945	夜尿3次,3.5490636945	肠鸣减轻,3.5490636945	上腹胀,3.5490636945	有时偏干,3.5490636945	咽痛好转,3.5490636945	大便偶不成形,3.5490636945	舌淡暗略胖,3.5490636945	胃脘畏寒减轻,3.54621062552	大便不成形,3.54319857505	时有口苦,3.54109552485	畏脘畏寒,3.53379622237	基本成形,3.53182188807	得嗳气则舒,3.53081025419	纳眠差,3.52926106721	

黄连	纳略增,3.8680269539	代诉：病情平稳,3.8680269539	舌体瘦,3.8680269539	纳稍增,3.8680269539	进食后偶嗳气,3.8680269539	小便热,3.8680269539	舌中根部疼痛,3.8680269539	饮食不慎则腹泻,3.79656798992	有瘀点,3.79391898175	舌苔根部厚,3.78798424623	咽部有异物感,3.78101557691	腹泻减轻,3.7727167741	泛吐白沫,3.7727167741	腹痛减轻,3.7727167741	根部厚,3.7727167741	舌质暗红,3.76266643825	晨起反酸,3.76266643825	目眵多,3.76266643825	舌下脉络瘀曲,3.75024391825	舌灼热感,3.75024391825	唇燥,3.74286381095	大便黑,3.73449556128	舌淡边有齿痕,3.72142347971	腹部喜温,3.71387627408	舌淡紫暗胖,3.70097286924	晨起咳痰,3.68570539711	胸闷减轻,3.68570539711	苔中根部黄,3.68570539711	口干苦,3.68570539711	舌干,3.68570539711	服上药后,3.68570539711	泻前腹痛,3.67878495426	小便次数多,3.66735625844	小便急,3.66735625844	足跟痛,3.66735625844	自觉上火,3.66735625844	心悸减轻,3.66735625844	大便溏,3.66735625844	时有反酸,3.65830642292	手足热,3.65671786024	矢气减少,3.64488340259	仍有嗳气,3.64488340259	苔薄黄白,3.64488340259	腰部不适,3.64488340259	大便偶不成形,3.64488340259	畏脘畏寒,3.63918538147	脉细弦,3.63441210272	口干舌燥,3.63441210272	腹部微畏寒,3.63163817584	涎多,3.62686489709	偶胃脘隐痛,3.62686489709	咳吐不利,3.62686489709	纳时好时差,3.62686489709	嘈杂,3.61671252562	口苦口干,3.61671252562	咽部有痰,3.60566268944	咽干咽痛,3.60566268944	脉沉弦细,3.60566268944	纳眠差,3.59976296731	舌红暗,3.59976296731	偶头晕,3.59976296731	反复腹泻,3.59773662416	受凉易腹泻,3.59177357728	根部黄,3.58034488145	胃脘部下坠感,3.58034488145	胸骨后烧灼感,3.58034488145	情志不舒加重,3.58034488145	大便不规律,3.56953396535	便前腹痛,3.56264530435	动则汗出,3.5578720256	矢气多,3.553533624	胃脘隐痛减轻,3.54957322278	根部薄白,3.54957322278	有时成形有时不成形,3.54957322278	喜饮,3.54957322278	鼻燥,3.54957322278	偶有反酸,3.54957322278	睡眠多,3.54957322278	心下悸动,3.54957322278	大便偶干,3.54957322278	脐周腹痛,3.53952288693	偶胃胀,3.53425377425	进食后加重,3.53155471728	苔厚腻略黄,3.53155471728	泻后则安,3.53155471728	苔中根部薄黄,3.53155471728	烧心,3.52732041314	口干，口苦,3.52695700803	咽部堵闷感,3.51972025964	心悸好转,3.51972025964	病情好转,3.51309265444	喜温喜按,3.51135200996	偶口干口苦,3.51135200996	背痛减轻,3.51135200996	大便较前成形,3.51135200996	食后腹胀,3.51135200996	苔根部腻,3.51135200996	小便清长,3.51135200996	纳偏差,3.51135200996	夜尿3次,3.51135200996	

麸炒白术	时有肠鸣,3.89386526072	代诉：病情平稳,3.89386526072	腹泻减轻,3.89386526072	腹泻好转,3.89386526072	偶耳鸣,3.89386526072	耳鸣减轻,3.89386526072	手足凉好转,3.89386526072	水样便,3.89386526072	微感口苦,3.89386526072	进食后偶嗳气,3.89386526072	午后明显,3.89386526072	根部厚,3.89386526072	打鼾,3.89386526072	舌中根部疼痛,3.89386526072	大便渐成形,3.89386526072	基本成形,3.85464454757	膝关节疼痛,3.83979803945	心悸好转,3.8332406389	夹未消化物,3.82487238923	饮食不慎则腹泻,3.82240629674	反复感冒,3.81975728857	有瘀点,3.81975728857	乏力明显好转,3.81382255305	口粘减轻,3.81382255305	膝关节畏寒,3.81382255305	得嗳气矢气则舒,3.81382255305	畏风,3.81382255305	四肢冷,3.81382255305	舌质红,3.81382255305	时有腰痛,3.81382255305	腹部畏寒好转,3.80685388373	舌淡红胖,3.80685388373	服药后好转,3.80685388373	感冒多,3.80685388373	形体偏瘦,3.80685388373	小便次数多,3.79855508091	苔局部花剥,3.79855508091	大便仍不成形,3.79855508091	双下肢乏力,3.79855508091	鼻燥,3.79855508091	右侧腹胀,3.79855508091	口腔异味减轻,3.79378180216	时干时稀,3.78850474506	大便较前成形,3.78850474506	苔根部腻,3.78850474506	偶胸痛,3.78850474506	纳偏差,3.78850474506	大便有时成形,3.78850474506	夜尿3次,3.78850474506	目眵多,3.78850474506	夹血块,3.78850474506	口干不欲饮,3.78850474506	舌淡暗略胖,3.78850474506	双下肢肿减轻,3.78850474506	脉沉细数,3.77608222506	口干好转,3.77608222506	大便中夹有未消化物,3.77250440371	脘腹畏寒,3.76870211776	脉沉细缓,3.75076441708	感冒不多,3.74726178653	泻前腹痛,3.7454452556	时有胃脘隐痛,3.73971458089	腹部畏寒喜暖,3.73971458089	纳时好时差,3.73971458089	大便基本成形,3.73729620003	稍感胃胀,3.73134633122	偶有胃胀,3.72681117606	牙龈出血,3.72201500379	舌紫暗胖,3.71407215028	腹泻,3.71200231434	口淡乏味,3.71154370392	大便不成形好转,3.71154370392	口干苦,3.71154370392	咽部有异物感,3.71154370392	舌干,3.71154370392	隐痛,3.71154370392	纳眠差,3.69970924628	大便已成形,3.69970924628	大便欠成形,3.69775038179	胃脘隐痛减轻,3.69319456526	胃脘胀满,3.69319456526	苔灰腻,3.69319456526	小便急,3.69319456526	微畏寒,3.69319456526	腹部硬满,3.69319456526	舌淡边有齿痕,3.69319456526	目干涩好转,3.69319456526	倦怠乏力,3.69319456526	心下悸动,3.69319456526	四肢凉,3.69319456526	时轻时重,3.68622589594	汗多好转,3.68622589594	面部烘热,3.68622589594	偶腹痛,3.68622589594	泻后则安,3.68255616705	面黄,3.6787538811	进食后腹胀,3.6707217094	背部畏寒,3.6707217094	脐周不适,3.6707217094	口渴,3.6707217094	

法半夏	喜温喜按,3.96246244654	舌体瘦,3.96246244654	口粘好转,3.96246244654	稍感恶心,3.96246244654	小便热,3.96246244654	纳略增,3.88835447439	胃脘部畏寒,3.87545106955	偶呕吐,3.87545106955	偶耳鸣,3.86715226673	反酸减少,3.86715226673	心下悸动,3.86715226673	睡眠质量好转,3.85710193088	腹部畏寒略减,3.85710193088	苔根部腻,3.85710193088	口酸,3.85710193088	两胁疼痛,3.85710193088	嗳气明显减轻,3.82893105391	反食,3.81728043669	仍感胃胀,3.80831176671	咳吐不利,3.80831176671	腹部畏寒喜暖,3.80831176671	吞咽困难,3.80831176671	舌淡紫暗胖,3.79540836188	嘈杂,3.78014088974	晨起干呕,3.78014088974	情志不舒加重,3.78014088974	微畏寒,3.76179175108	苔局部花剥,3.76179175108	嗳气偶作,3.76179175108	大便偶干,3.76179175108	家族史否认,3.75482308176	偶口干口苦,3.73931889522	背痛减轻,3.73931889522	反复胃胀,3.73931889522	胃脘及背部畏寒,3.73931889522	仍有嗳气,3.73931889522	大便有时成形,3.73931889522	偶隐痛,3.73931889522	伴嗳气,3.73931889522	胃脘畏寒明显,3.72884759536	嗳气好转,3.72405142309	胸骨后不适,3.72278959327	苔黄白腻,3.72130038972	进食生冷加重,3.72130038972	偶头痛,3.72130038972	进食后嗳气,3.71560236861	大便有时干,3.71114801826	喜叹息,3.70574259969	白带多,3.70463333724	嗳气频作,3.70009818207	偶干咳,3.70009818207	进食后明显,3.69776989231	睡眠不实,3.69514767691	烘热,3.69052873106	胃胀明显好转,3.68483070994	嗳气不畅,3.6810499871	吞咽食物时梗噎不畅,3.67478037409	气喘,3.67478037409	口淡乏味,3.67478037409	两胁痛,3.67478037409	咽部有异物感,3.67478037409	呕吐,3.66870132801	大便少,3.66699823364	咽部异物感减轻,3.66396945798	乳房胀痛,3.66396945798	痞满,3.66357292107	时有恶心,3.66235785409	上腹胀满,3.66235785409	嗳气,3.65668455337	胃胀,3.65265051258	上腹胀,3.65230751823	反酸减轻,3.64796911664	胃脘隐痛减轻,3.64400871542	大便头干,3.64400871542	舌燥,3.64400871542	眠时好时差,3.64400871542	查胃镜示慢性胃炎,3.64400871542	偶胸骨后疼痛,3.64400871542	反酸,3.64383012805	咽部不适,3.64155472646	大便干燥,3.6370400461	晨起口干,3.63110531058	胃脘畏寒,3.62897083806	时有反酸,3.62868926689	生气后加重,3.62599020992	小便不尽感,3.62599020992	大便困难,3.62599020992	胁痛,3.62599020992	舌有裂纹,3.62252600322	食后胃胀,3.61836628481	大便黑,3.61762196025	背部不适,3.61762196025	纳眠差,3.61415575227	咽部堵闷感,3.61415575227	脘腹胀满,3.6110645597	胸憋,3.60964107192	纳可,3.60869871281	烧心,3.60633609912	背痛好转,3.6057875026	有齿痕,3.6057875026	

炒白芍	代诉：病情平稳,3.96841423425	反复胃胀,3.96841423425	微感口苦,3.96841423425	小便热,3.96841423425	打鼾,3.96841423425	全身关节疼痛,3.90778961243	易怒,3.89430626209	下肢疼痛,3.88837152657	得嗳气矢气则舒,3.88837152657	小便次数多,3.87310405444	小便急,3.87310405444	腹部下坠感,3.86663153994	腹部畏寒略减,3.86305371859	两胁疼痛,3.86305371859	夜尿3次,3.86305371859	舌淡暗略胖,3.86305371859	呈隐痛,3.86305371859	伴嗳气,3.86305371859	便前腹痛,3.85718859914	隐痛,3.85063119859	小便困难,3.84325109129	脘腹畏寒,3.84325109129	有软裂,3.83779405183	偶腹痛,3.83488284162	矢气减少,3.82531339061	进食生冷加重,3.81426355442	泻后则安,3.81426355442	腹部喜温,3.81426355442	舌苔根部厚,3.80136014958	乏力明显好转,3.80136014958	右胁痛,3.80136014958	偶有胃胀,3.80136014958	晨起口臭,3.80136014958	口淡乏味,3.78609267745	咽部有异物感,3.78609267745	右侧腹痛,3.78609267745	午后明显,3.78609267745	得矢气则舒,3.77425821981	腹部畏寒明显,3.76774353878	左上腹疼痛,3.76774353878	尿不尽感,3.76774353878	眠时好时差,3.76774353878	偶右上腹疼痛,3.76774353878	查胃镜示慢性胃炎,3.76774353878	健忘,3.76077486947	右侧背痛,3.75710514058	背痛好转,3.74527068293	口酸,3.74527068293	胃脘及背部畏寒,3.74527068293	夹未消化物,3.74527068293	脑鸣,3.74527068293	反复发作,3.74527068293	脉左沉右弦,3.74527068293	偶有便不尽感,3.74527068293	畏脘畏寒,3.73957266182	胃脘部畏寒,3.73479938307	胁痛,3.72725217743	气上逆感,3.72155415632	大便干燥,3.71709980597	质不干,3.71709980597	手足凉好转,3.71709980597	舌淡边有齿痕,3.71058512494	排气不畅,3.70604996978	不喜进食生冷,3.70604996978	苔浊腻,3.70604996978	汗多减轻,3.70604996978	时有腹痛,3.70178557099	脐周腹痛,3.69397738855	局部剥脱,3.6807321618	口干苦,3.6807321618	偶肠鸣,3.6807321618	全身乏力,3.6807321618	睡眠时好时差,3.6807321618	双下肢凉,3.6807321618	食后加重,3.6807321618	视物模糊,3.6807321618	形体偏瘦,3.6807321618	腹痛,3.67417476125	苔薄白略腻,3.67116271078	右胁疼痛,3.6630325847	反复腹泻,3.6630325847	胃脘隐痛减轻,3.64996050313	腹泻减轻,3.64996050313	偶耳鸣,3.64996050313	烘热汗出,3.64996050313	反酸减少,3.64996050313	腹痛减轻,3.64996050313	鼻燥,3.64996050313	舌木,3.64996050313	四肢凉,3.64996050313	饮食不慎则胃胀,3.64996050313	泻前腹痛,3.64564084198	大便有时干,3.64299183381	眠一般,3.64120132304	胃寒,3.63991016727	苔黄略腻,3.63991016727	不能多食,3.63705709829	月经量少,3.63663684193	时有肠鸣,3.63194199763	进食后加重,3.63194199763	

黄芩	腹泻减轻,4.1009463028	舌体瘦,4.1009463028	舌紫暗红胖,4.005636123	饮食不慎则胃胀,4.005636123	口酸,3.99558578714	口干不欲饮,3.99558578714	双下肢肿减轻,3.99558578714	饮食不慎则腹泻,3.95252629768	脑鸣,3.9384273733	乏力明显好转,3.93389221814	口淡乏味,3.91862474601	服上药后,3.91862474601	腹部畏寒明显,3.90027560734	苔局部花剥,3.90027560734	时时欲便,3.89330693802	喜温喜按,3.87780275149	口苦好转,3.87780275149	牙龈肿痛,3.87780275149	打鼾,3.87780275149	便前腹痛,3.86455752474	舌下脉络瘀曲,3.84963187452	以流食为主,3.83858203833	咽干咽痛,3.83858203833	反复腹泻,3.83065597306	苔厚腻略黄,3.82901258732	泻前腹痛,3.82469292617	晨起咳痰,3.81326423035	苔中根部黄,3.81326423035	胃脘部下坠感,3.81326423035	纳偏少,3.81326423035	前部少苔,3.79346160305	泛吐白沫,3.78249257168	睡眠略好转,3.78249257168	舌燥,3.78249257168	鼻燥,3.78249257168	涎多,3.76447406618	泻后则安,3.76447406618	PG,3.76447406618	大便不规律,3.75800155167	牙痛,3.75263960853	腹部畏寒略减,3.74427135886	夜间口干减轻,3.74427135886	水样便,3.74427135886	有时偏干,3.74427135886	呈隐痛,3.74427135886	舌苔根部厚,3.73322152268	不详,3.73322152268	胃中沥沥在声,3.73322152268	胃脘胀满,3.71795405055	双下肢乏力,3.71795405055	舌淡边有齿痕,3.71795405055	苔黄略腻,3.71528382199	食欲好,3.70704201709	腹部畏寒好转,3.69548119469	口渴,3.69548119469	色黄,3.69548119469	目困,3.69548119469	脉沉细数,3.69548119469	口干苦,3.69548119469	否认过敏史,3.69548119469	时有口臭,3.69548119469	有瘀斑,3.6832111021	质干,3.67973283773	舌略红,3.67973283773	有齿痕,3.67016338671	舌质暗红,3.67016338671	纳眠差,3.66562823154	食欲不振,3.66562823154	偶头晕,3.66562823154	进食后加重,3.65911355052	脉弦数,3.65911355052	舌淡暗红,3.65911355052	胁痛,3.65911355052	脐周腹痛,3.65465920017	小便急,3.64896117906	口涩,3.64896117906	根部薄白,3.64896117906	自觉上火,3.64896117906	睡眠偏差,3.64896117906	根部黄腻,3.64896117906	腹痛减轻,3.64896117906	倦怠乏力,3.64896117906	舌紫暗红,3.6396007363	口臭减轻,3.63832278085	口苦减轻,3.63832278085	气喘,3.63094267356	口干舌燥,3.63094267356	家族史否认,3.63094267356	偶咳嗽,3.62552260609	受凉易腹泻,3.62402223071	睡眠有时欠佳,3.62137322254	大便欠畅,3.62137322254	舌红暗,3.61910821591	右胁隐痛,3.61543848702	根部腻,3.61543848702	下肢疼痛,3.61543848702	得嗳气矢气则舒,3.61543848702	脉沉弦细,3.61543848702	偶干咳,3.61543848702	腰部畏寒,3.6084698177	

当归	代诉：病情平稳,4.11681777182	腹胀不明显,4.11681777182	舌体瘦,4.11681777182	自觉上火,4.11681777182	舌中根部疼痛,4.11681777182	量偏少,4.07236600925	易怒,4.04270979966	时有腰痛,4.03677506414	出汗多,4.02980639483	脐周不适,4.01145725616	大便有时成形,4.01145725616	面部痤疮多,4.01145725616	夹血块,4.01145725616	月经不调,4.00174844203	偶头晕,3.99165462886	月经量少,3.99165462886	夹有血块,3.97798132696	正值经期,3.97371692818	面部痤疮好转,3.97371692818	脉沉细缓,3.97371692818	脱发明显,3.96266709199	以流食为主,3.94976368716	大便好转,3.94246438467	耳鸣减轻,3.93449621502	纳眠差,3.92266175738	口干渴,3.91614707636	偶右上腹疼痛,3.91614707636	根部厚,3.91614707636	倦怠乏力,3.91614707636	饮食不慎则胃胀,3.91614707636	消瘦,3.90917840704	经期腹痛,3.90709724084	乳房胀痛,3.9017063922	腰背痛,3.8936742205	伴嗳气,3.8936742205	饮食不慎则腹泻,3.88501615776	面部痤疮,3.87653793826	咳吐不利,3.875655715	面色黄,3.87262081131	舌灼热感,3.86550334354	质不干,3.86550334354	手足凉好转,3.86550334354	面黄,3.86088439768	双下肢乏力,3.85898866252	颈部不适,3.85445350735	不详,3.85445350735	双下肢肿,3.85445350735	右上腹不适,3.85445350735	心悸好转,3.84855378522	右侧背痛,3.84488405633	心烦,3.83918603522	乏力,3.83742624594	胸闷减轻,3.82913569937	偶肠鸣,3.82913569937	皮肤痒,3.82913569937	下腹胀,3.82913569937	胃脘部下坠感,3.82913569937	口臭明显减轻,3.82913569937	双下肢凉,3.82913569937	小便热,3.82913569937	形体偏瘦,3.82913569937	苔根部黄,3.82913569937	服上药后,3.82913569937	手足心热,3.8100875044	色黄,3.80666284351	急躁易怒,3.80666284351	精神好转,3.80444308678	脉沉小,3.80316021296	腹泻减轻,3.7983640407	大便仍不成形,3.7983640407	根部薄白,3.7983640407	呈绞痛,3.7983640407	右侧腹胀,3.7983640407	大便偶干,3.7983640407	痛经,3.79139537138	舌略红,3.78657608495	偶腹痛,3.78657608495	饮食控制,3.7803455352	略黄,3.77197728553	全身畏寒,3.76898177655	睡眠质量差,3.76616090021	进食后腹胀,3.76014282788	睡眠质量好转,3.76014282788	口粘好转,3.76014282788	苔薄,3.76014282788	肠鸣减轻,3.76014282788	大便排出不畅,3.76014282788	咽痛好转,3.76014282788	呈隐痛,3.76014282788	手足凉,3.75202370344	胃脘畏寒减轻,3.74909299169	膝关节畏寒,3.74909299169	偶有胃胀,3.74909299169	晨起口臭,3.74909299169	便秘,3.73732815011	四肢凉,3.73382551956	脱发,3.73004479672	时有乏力,3.72905224081	腹胀减轻,3.72815978203	胸憋,3.72477568404	

丹参	代诉：病情平稳,4.22648554467	腹部畏寒略减,4.22648554467	下肢疼痛,4.22648554467	有瘀斑,4.20179293208	胸闷减轻,4.13947416768	目胀,4.13947416768	大便渐成形,4.13117536487	脑鸣,4.12112502902	以流食为主,4.05943146001	舌淡紫暗胖,4.05943146001	心悸好转,4.03232953023	心悸减轻,4.02581484921	睡眠有时偏差,4.02581484921	健忘,4.0188461799	舌紫暗胖,4.01592077557	背痛好转,4.00334199336	有齿痕,4.00334199336	腹胀不明显,4.00334199336	小腹胀满,4.00334199336	脉左沉右弦,4.00334199336	有时偏干,4.00334199336	舌紫暗,4.0023572567	头晕减轻,3.98532348786	晨起口臭,3.96412128021	唇燥,3.95822155808	偶右胁不适,3.93880347222	舌干,3.93880347222	时有口干口苦,3.93880347222	胸痛,3.93880347222	服上药后,3.93880347222	口干好转,3.92638095222	口渴,3.91633061637	伴心悸,3.90803181356	苔灰腻,3.90803181356	大便仍不成形,3.90803181356	心下悸动,3.90803181356	不能多食,3.89512840872	有瘀点,3.89001330805	口臭减轻,3.87508765784	胃脘胃寒,3.86981060074	口粘好转,3.86981060074	口苦好转,3.86981060074	食后加重,3.86981060074	大便偶不成形,3.86981060074	口干咽燥,3.86358005098	小腹胀,3.86358005098	右胁痛,3.85876076455	口粘减轻,3.85876076455	膝关节畏寒,3.85876076455	剑突下偏右侧疼痛,3.85876076455	偶胸闷,3.85179209523	苔薄黄略腻,3.85179209523	病情稳定,3.84699592297	大便基本成形,3.84252664179	饮食控制,3.83872001367	咽部异物感减轻,3.83702077791	舌暗淡胖,3.83702077791	晨起咳痰,3.82102043657	偶心悸,3.82102043657	形体肥胖,3.82102043657	大便欠畅,3.82102043657	大便粘好转,3.82102043657	出汗多,3.82102043657	脉弱,3.82102043657	嗳气减少,3.82102043657	口干舌燥,3.82102043657	腰部畏寒,3.82102043657	脉沉细缓,3.82102043657	胃脘畏寒好转,3.80777520982	苔薄白略腻,3.80663169911	舌质暗红,3.79570262858	小便频数,3.79362146238	胸憋,3.79362146238	前部少苔,3.79116747342	生气后加重,3.78465279239	反酸偶作,3.78465279239	吞咽困难,3.78465279239	小便不畅,3.78019844205	胸骨后疼痛,3.78019844205	色黑,3.77450042093	尿不尽感,3.77450042093	呈绞痛,3.77450042093	舌紫暗红胖,3.77450042093	右侧腹胀,3.77450042093	饮食不慎则胃胀,3.77450042093	反酸减轻,3.7722302724	进食后偶嗳气,3.7669532153	舌紫暗红,3.76513997817	进食后胃脘不适,3.75648191543	排出畅,3.75648191543	时时欲便,3.75648191543	汗出,3.75648191543	唇暗,3.75648191543	夜间口干,3.75270119259	心烦,3.75040286935	右侧背痛,3.74691246441	烘热,3.74691246441	心悸,3.74602278464	不详,3.74097772889	右上腹不适,3.74097772889	

干姜	代诉：病情平稳,4.39121691653	腹部畏寒略减,4.39121691653	舌体瘦,4.39121691653	腹部畏寒明显,4.34469690089	下肢疼痛,4.31117420885	胃脘部下坠感,4.30420553954	腹泻减轻,4.29590673672	背痛好转,4.28585640087	胃脘及背部畏寒,4.28585640087	脘腹畏寒,4.26605377357	受凉易作,4.24461344233	脑鸣,4.22869798703	以流食为主,4.22416283186	颈部不适,4.22416283186	口粘减轻,4.22416283186	舌质红,4.22416283186	耳鸣减轻,4.20889535973	受凉加重,4.20016167976	苔局部花剥,4.19054622106	大便欠畅,4.17990782286	喜温喜按,4.16807336521	胃寒,4.16807336521	脉左沉右弦,4.16807336521	胃脘部畏寒,4.15760206535	膝关节疼痛,4.15482813846	胃脘畏寒好转,4.15482813846	有瘀点,4.15005485971	胃脘畏寒减轻,4.12885265206	偶胃脘隐痛,4.10353484408	口干苦,4.10353484408	偶肠鸣,4.10353484408	形体偏瘦,4.10353484408	烘热汗出,4.07276318541	查胃镜示慢性胃炎,4.07276318541	头晕减轻,4.05474467991	进食生冷加重,4.05474467991	纳眠差,4.04291022226	前部少,4.04291022226	不能食冷,4.04073394284	小腹畏寒,4.03454197259	腹胀不明显,4.03454197259	胃脘胃寒,4.03454197259	反复胃胀,4.03454197259	夜尿3次,4.03454197259	大便有时秘结,4.03454197259	口干不欲饮,4.03454197259	双下肢肿减轻,4.03454197259	不能多食,4.0234921364	双下肢肿,4.0234921364	偶有胃胀,4.0234921364	气喘,4.01652346709	面部烘热,4.01652346709	家族史否认,4.01652346709	腹部畏寒好转,3.98575180842	两胁痛,3.98575180842	微感口苦,3.98575180842	偶呕吐,3.98575180842	畏脘畏寒,3.9743231126	饮食不慎则腹泻,3.96836006571	胁胀,3.96836006571	纳偏差,3.96043400043	肠鸣减轻,3.96043400043	嗳气减少,3.95589884527	纳稍增,3.94938416425	小便次数多,3.93923179278	大便仍不成形,3.93923179278	根部薄白,3.93923179278	尿不尽感,3.93923179278	舌燥,3.93923179278	呈绞痛,3.93923179278	腹痛减轻,3.93923179278	腹部畏寒,3.93135773635	否认过敏史,3.92859339458	腹部畏寒减轻,3.92764417761	舌暗淡,3.92121328728	排出畅,3.92121328728	眠好,3.92121328728	健忘,3.92121328728	乏力明显好转,3.90570910075	大便不尽感,3.90570910075	受凉后加重,3.90570910075	不能进食生冷,3.89719841108	胃脘畏寒,3.88782627125	时干时稀,3.88039129276	背痛减轻,3.88039129276	舌质暗红,3.88039129276	睡眠质量好转,3.88039129276	两胁疼痛,3.88039129276	口苦好转,3.88039129276	反复发作,3.88039129276	水样便,3.88039129276	左沉细,3.88039129276	舌淡暗略胖,3.88039129276	脐周隐痛,3.88039129276	脘腹胀满,3.86796877276	偶右上腹疼痛,3.86512382063	四肢凉,3.86512382063	双下肢畏寒,3.86058866546	咽红,3.8571344306	精神好转,3.85569868017	

